Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available,In_Team
Short,Matthew,MW,Matthew Short,MW Short,254600,Adelaide Strikers,ALLR,1,1
Maxwell,Glenn,GJ,Glenn Maxwell,GJ Maxwell,236300,Melbourne Stars,ALLR,1,0
Overton,Jamie,J,Jamie Overton,J Overton,225400,Adelaide Strikers,ALLR,1,0
Smith,Steve,SPD,Steve Smith,SPD Smith,218400,Sydney Sixers,BAT,0,0
Bartlett,Xavier,XC,Xavier Bartlett,XC Bartlett,207000,Brisbane Heat,BOWL,1,0
Hosein,Akeal,AJ,Akeal Hosein,AJ Hosein,195900,Sydney Sixers,BOWL,1,0
Sutherland,Will,W,Will Sutherland,W Sutherland,191600,Melbourne Renegades,ALLR,1,0
Seifert,Tim,,Tim Seifert,Tim Seifert,184000,Melbourne Renegades,WK,1,0
Hardie,Aaron,AM,Aaron Hardie,AM Hardie,177800,Perth Scorchers,ALLR,1,0
Neser,Michael,MG,Michael Neser,MG Neser,175400,Brisbane Heat,ALLR,0,0
Behrendorff,Jason,JP,Jason Behrendorff,JP Behrendorff,175100,Perth Scorchers,BOWL,1,0
Ferguson,Lockie,,Lockie Ferguson,Lockie Ferguson,171000,Sydney Thunder,BOWL,1,0
Carey,Alex,AT,Alex Carey,AT Carey,167500,Adelaide Strikers,WK,0,0
Sams,Daniel,DR,Daniel Sams,DR Sams,166500,Sydney Thunder,ALLR,1,0
Dwarshuis,Ben,BJ,Ben Dwarshuis,BJ Dwarshuis,162700,Sydney Sixers,BOWL,1,0
Connolly,Cooper,C,Cooper Connolly,C Connolly,161200,Perth Scorchers,ALLR,1,0
Walter,Paul,PI,Paul Walter,PI Walter,159400,Brisbane Heat,ALLR,1,0
Lynn,Chris,CA,Chris Lynn,CA Lynn,157600,Adelaide Strikers,BAT,1,0
Edwards,Jack,J,Jack Edwards,J Edwards,153800,Sydney Sixers,ALLR,1,1
Bird,Jackson,JM,Jackson Bird,JM Bird,152100,Sydney Sixers,BOWL,1,0
Marsh,Mitchell,MR,Mitchell Marsh,MR Marsh,152000,Perth Scorchers,ALLR,0,0
Ellis,Nathan,NT,Nathan Ellis,NT Ellis,151600,Hobart Hurricanes,BOWL,1,1
Rogers,Tom,TS,Tom Rogers,TS Rogers,150900,Melbourne Renegades,BOWL,1,0
Richardson,Jhye,JA,Jhye Richardson,JA Richardson,147200,Perth Scorchers,BOWL,0,0
Curran,Tom,TK,Tom Curran,TK Curran,146900,Melbourne Stars,ALLR,1,0
Green,Chris,CJ,Chris Green,CJ Green,146100,Sydney Thunder,BOWL,1,0
Pope,Lloyd,L,Lloyd Pope,L Pope,145600,Adelaide Strikers,BOWL,1,0
Pope,Ollie,,Ollie Pope,Ollie Pope,141700,Adelaide Strikers,BAT,1,0
Duckett,Ben,BM,Ben Duckett,BM Duckett,141600,Melbourne Stars,WK,1,0
O'Neill,Fergus,F,Fergus O'Neill,F O'Neill,140500,Melbourne Renegades,BOWL,1,0
Wade,Matthew,MS,Matthew Wade,MS Wade,139200,Hobart Hurricanes,WK,0,0
Abbott,Sean,SA,Sean Abbott,SA Abbott,138000,Sydney Sixers,BOWL,0,0
Morris,Lance,LR,Lance Morris,LR Morris,136600,Perth Scorchers,BOWL,1,0
Inglis,Josh,JP,Josh Inglis,JP Inglis,136200,Perth Scorchers,WK,0,0
Tye,Andrew,AJ,Andrew Tye,AJ Tye,133900,Perth Scorchers,BOWL,1,1
Warner,David,DA,David Warner,DA Warner,132600,Sydney Thunder,BAT,1,0
Webster,Beau,BJ,Beau Webster,BJ Webster,131800,Melbourne Stars,ALLR,0,0
Hughes,Daniel,DP,Daniel Hughes,DP Hughes,131400,Sydney Sixers,BAT,0,0
Hope,Shai,,Shai Hope,Shai Hope,131000,Hobart Hurricanes,WK,1,1
Head,Travis,TM,Travis Head,TM Head,130000,Adelaide Strikers,ALLR,0,0
Khawaja,Usman,UT,Usman Khawaja,UT Khawaja,130000,Brisbane Heat,BAT,0,0
Labuschagne,Marnus,M,Marnus Labuschagne,M Labuschagne,130000,Brisbane Heat,BAT,0,0
Peirson,Jimmy,JJ,Jimmy Peirson,JJ Peirson,130000,Brisbane Heat,WK,1,0
Wright,Mac,M,Mac Wright,M Wright,126300,Hobart Hurricanes,BAT,0,0
Vince,James,JM,James Vince,JM Vince,125500,Sydney Sixers,BAT,1,1
Mir,Usama,Usama,Usama Mir,Usama Mir,124600,Melbourne Stars,BOWL,1,0
Sangha,Tanveer,T,Tanveer Sangha,T Sangha,124400,Sydney Thunder,BOWL,1,0
Agar,Ashton,AC,Ashton Agar,AC Agar,122500,Perth Scorchers,BOWL,1,0
Philippe,Josh,JR,Josh Philippe,JR Philippe,122100,Sydney Sixers,WK,1,0
Henriques,Moises,MC,Moises Henriques,MC Henriques,121900,Sydney Sixers,ALLR,1,0
Johnson,Spencer,SH,Spencer Johnson,SH Johnson,121800,Brisbane Heat,BOWL,1,1
Kuhnemann,Matthew,MP,Matthew Kuhnemann,MP Kuhnemann,121200,Brisbane Heat,BOWL,1,0
Munro,Colin,C,Colin Munro,C Munro,121100,Brisbane Heat,BAT,1,0
Stoinis,Marcus,MP,Marcus Stoinis,MP Stoinis,121000,Melbourne Stars,ALLR,1,0
McSweeney,Nathan,NA,Nathan McSweeney,NA McSweeney,119600,Brisbane Heat,BAT,1,0
Rutherford,Sherfane,,Sherfane Rutherford,Sherfane Rutherford,119300,Sydney Thunder,BAT,1,0
Weatherald,Jake,J,Jake Weatherald,J Weatherald,118900,Adelaide Strikers,BAT,1,0
McDermott,Ben,BR,Ben McDermott,BR McDermott,118600,Hobart Hurricanes,WK,1,1
Alsop,Tom,,Tom Alsop,Tom Alsop,117500,Brisbane Heat,WK,0,0
Chohan,Jafer,,Jafer Chohan,Jafer Chohan,117500,Sydney Sixers,BOWL,0,0
Short,D'Arcy,DJM,D'Arcy Short,DJM Short,116200,Adelaide Strikers,BAT,1,0
Allen,Fabian,,Fabian Allen,Fabian Allen,115700,Adelaide Strikers,ALLR,0,0
Thornton,Henry,HTRY,Henry Thornton,HTRY Thornton,115700,Adelaide Strikers,BOWL,1,0
Jordan,Chris,CJ,Chris Jordan,CJ Jordan,115400,Hobart Hurricanes,BOWL,1,1
Khan,Hassan,,Hassan Khan,Hassan Khan,115000,Melbourne Renegades,ALLR,0,0
Clarke,Joe,JM,Joe Clarke,JM Clarke,110600,Melbourne Stars,WK,0,0
Chaudhary,Nikhil,Nikhil,Nikhil Chaudhary,Nikhil Chaudhary,110100,Hobart Hurricanes,ALLR,1,1
Swepson,Mitchell,MJ,Mitchell Swepson,MJ Swepson,109700,Brisbane Heat,BOWL,1,0
Billings,Sam,SW,Sam Billings,SW Billings,108500,Sydney Thunder,WK,1,0
Evans,Laurie,LJ,Laurie Evans,LJ Evans,108000,Melbourne Renegades,BAT,1,0
Allen,Finn,,Finn Allen,Finn Allen,107900,Perth Scorchers,BAT,1,0
Bancroft,Cameron,CT,Cameron Bancroft,CT Bancroft,106200,Sydney Thunder,WK,1,0
Bryant,Max,M,Max Bryant,M Bryant,106200,Brisbane Heat,BAT,1,0
Fraser-McGurk,Jake,J,Jake Fraser-McGurk,J Fraser-McGurk,105100,Melbourne Renegades,BAT,1,0
Meredith,Riley,RP,Riley Meredith,RP Meredith,103700,Hobart Hurricanes,BOWL,1,1
Kerr,Hayden,H,Hayden Kerr,H Kerr,103500,Sydney Sixers,ALLR,1,0
Boyce,Cameron,CJ,Cameron Boyce,CJ Boyce,103000,Adelaide Strikers,BOWL,1,0
Brown,Josh,J,Josh Brown,J Brown,103000,Melbourne Renegades,BAT,1,0
Milne,Adam,AF,Adam Milne,AF Milne,102600,Melbourne Stars,BOWL,0,0
Hurst,Matthew,,Matthew Hurst,Matthew Hurst,101900,Perth Scorchers,WK,1,0
Kelly,Matt,M,Matt Kelly,M Kelly,101600,Perth Scorchers,BOWL,1,0
