player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
TS Rogers,Melbourne Renegades,164800,39,78,111,66,64,29,119,,,
JP Behrendorff,Perth Scorchers,179700,78,67,60,57,88,38,99,,,
BM Duckett,Melbourne Stars,184000,,,10,123,87,0,87,45,,
AI Ross,Adelaide Strikers,88200,37,55,40,8,30,6,72,,,
SPD Smith,Sydney Sixers,218400,,,,,,,,,,
C Connolly,Perth Scorchers,166800,102,19,127,37,60,60,2,,,
JA Richardson,Perth Scorchers,157700,103,7,,,87,87,71,,,
MR Marsh,Perth Scorchers,152000,,,,,,,0,,,
AT Carey,Adelaide Strikers,167500,,,,,,,,,,
B Doggett,Adelaide Strikers,119800,,,,,103,75,5,,,
B Stanlake,Hobart Hurricanes,86500,26,21,33,63,25,,,,,
BJ Dwarshuis,Sydney Sixers,178600,71,107,46,102,19,,13,,,
JM Bird,Sydney Sixers,171900,,,76,25,140,,,,,
GJ Maxwell,Melbourne Stars,163500,,,40,60,17,40,65,113,,
TK Curran,Melbourne Stars,140700,100,4,30,39,,,,,,
BJ Webster,Melbourne Stars,129600,19,47,3,,100,,,59,,
BR McDermott,Hobart Hurricanes,136500,20,15,103,44,17,,,,,
LR Morris,Perth Scorchers,149300,51,3,,54,74,98,66,,,
MP Stoinis,Melbourne Stars,129500,37,96,46,24,27,96,59,57,,
XC Bartlett,Brisbane Heat,183600,90,50,9,50,137,,25,,,
CA Lynn,Adelaide Strikers,144800,2,,24,19,1,123,74,,,
CA Wakim,Hobart Hurricanes,39500,,,,,,,,,,
MG Neser,Brisbane Heat,175400,,,,,,,68,,,
CJ Boyce,Adelaide Strikers,98000,26,35,4,1,42,40,63,,,
SW Billings,Sydney Thunder,161800,29,35,147,40,13,20,,,,
CJ Jordan,Hobart Hurricanes,141200,0,11,63,114,28,,,,,
CP Jewell,Hobart Hurricanes,64500,,7,32,,,,,,,
WA Agar,Sydney Thunder,159200,,,102,104,4,24,,,,
DA Warner,Sydney Thunder,151900,17,37,29,116,74,70,,,,
DJM Short,Adelaide Strikers,106800,,85,1,66,23,37,4,,,
Usama Mir,Melbourne Stars,121500,,,,27,59,43,35,90,,
JR Philippe,Sydney Sixers,169100,25,40,77,121,36,,18,,,
CJ Green,Sydney Thunder,145700,106,0,32,61,113,10,,,,
W Sutherland,Melbourne Renegades,148400,99,118,63,42,24,16,166,,,
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
AJ Tye,Perth Scorchers,139900,34,,46,71,46,27,,,,
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
F O'Neill,Melbourne Renegades,128000,11,114,80,10,6,,,,,
JM Vince,Sydney Sixers,157200,50,13,156,30,21,,78,,,
JS Paris,Melbourne Stars,103400,,,,,39,52,77,2,,
Tim Seifert,Melbourne Renegades,126900,85,92,53,19,4,27,35,,,
LJ Evans,Melbourne Renegades,119700,11,17,44,70,26,49,0,,,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
HTRY Thornton,Adelaide Strikers,134500,52,56,50,4,47,106,27,,,
AF Milne,Melbourne Stars,102600,30,6,56,,,,,,,
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
Jacob Bethell,Melbourne Renegades,118600,,3,40,2,67,111,3,,,
AJ Hosein,Sydney Sixers,155200,,64,23,40,29,,5,,,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
PM Siddle,Melbourne Stars,100200,25,,77,18,48,33,49,61,,
J Overton,Adelaide Strikers,201200,99,61,103,131,3,68,60,,,
J Weatherald,Adelaide Strikers,79400,65,11,,,18,3,13,,,
J Edwards,Sydney Sixers,141700,75,65,12,,37,,48,,,
AC Agar,Perth Scorchers,138400,40,32,50,101,12,,90,,,
J Brown,Melbourne Renegades,114400,47,23,12,27,101,6,,,,
SA Abbott,Sydney Sixers,138000,61,41,,,,,99,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,,,
DP Hughes,Sydney Sixers,131400,0,,,,,,,,,
SH Johnson,Brisbane Heat,157800,,,148,13,51,,81,,,
JJ Bazley,Adelaide Strikers,60400,67,16,48,2,,11,18,,,
PI Walter,Brisbane Heat,135300,13,44,25,51,23,,,,,
DR Sams,Sydney Thunder,139300,75,35,38,58,15,,,,,
Jafer Chohan,Sydney Sixers,117500,,,,,,,,,,
MT Steketee,Melbourne Stars,88100,,,,,,47,34,97,,
H Kerr,Sydney Sixers,113700,30,,35,69,24,,80,,,
Jordan Buckingham,Adelaide Strikers,39500,,,,,,,,,,
JP Inglis,Perth Scorchers,136200,,64,14,,,,,,,
AJ Turner,Perth Scorchers,125300,47,59,50,57,63,0,8,,,
M Labuschagne,Brisbane Heat,130000,,,,,,,,,,
JC Silk,Sydney Sixers,109300,12,61,69,20,20,,11,,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
GS Sandhu,Melbourne Renegades,104000,,,,,,79,19,,,
AM Hardie,Perth Scorchers,116600,,,,24,2,10,34,,,
T Murphy,Sydney Sixers,96300,4,1,77,55,16,,2,,,
A Zampa,Melbourne Renegades,91100,8,28,34,43,60,4,87,,,
L Pope,Adelaide Strikers,121900,35,95,61,33,0,47,43,,,
Lockie Ferguson,Sydney Thunder,134300,95,50,52,10,8,86,,,,
Liam Scott,Adelaide Strikers,52300,,8,40,26,0,,,,,
JW Wells,Melbourne Renegades,85000,,,,,,60,0,,,
T Sangha,Sydney Thunder,124400,66,25,,,,,,,,
Finn Allen,Perth Scorchers,115000,6,4,0,20,85,113,49,,,
UT Khawaja,Brisbane Heat,130000,,,,,,,,,,
CT Bancroft,Sydney Thunder,101100,6,100,31,18,0,,,,,
M Kelly,Perth Scorchers,108800,,,48,49,,21,5,,,
NA McSweeney,Brisbane Heat,125600,,138,39,34,9,,17,,,
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
Keaton Jennings,Perth Scorchers,98700,14,40,9,,,,,,,
NR Hobson,Perth Scorchers,91600,62,1,8,92,0,36,12,,,
Matthew Hurst,Perth Scorchers,91500,24,6,,38,33,38,,,,
MC Henriques,Sydney Sixers,96200,98,17,11,29,32,,23,,,
M Bryant,Brisbane Heat,118000,61,3,70,2,112,,107,,,
KR Patterson,Sydney Sixers,79600,,,,67,9,,18,,,
MJ Owen,Hobart Hurricanes,149600,20,151,28,68,72,,,,,
Tom Alsop,Brisbane Heat,117500,,,,,,,39,,,
JJ Peirson,Brisbane Heat,113100,97,18,11,34,,,,,,
SB Harper,Melbourne Stars,71700,11,61,58,12,14,28,41,4,,
Matthew Spoors,Perth Scorchers,57500,,,30,,,1,,,,
KW Richardson,Melbourne Renegades,84000,31,16,27,43,6,,37,,,
MS Wade,Hobart Hurricanes,115700,5,,,35,57,,,,,
MT Renshaw,Brisbane Heat,100000,18,89,66,11,19,,63,,,
BL Couch,Melbourne Stars,68600,28,1,,,12,,,,,
J Fraser-McGurk,Melbourne Renegades,74200,46,5,12,26,1,12,0,,,
MW Short,Adelaide Strikers,249100,41,62,53,120,,,,,,
N McAndrew,Sydney Thunder,83300,3,20,,,,,,,,
MP Kuhnemann,Brisbane Heat,89000,29,13,42,1,2,,57,,,
Nikhil Chaudhary,Hobart Hurricanes,121000,2,1,43,100,36,,,,,
JJS Sangha,Sydney Thunder,82300,,,59,,,,,,,
MW Harvey,Melbourne Renegades,58600,11,10,49,9,6,,,,,
